contract_id,klant_id,startdatum,einddatum,abonnementstype,maandelijkse_kosten
CN49537,K0451,2017-09-20,2018-05-18,Goud,23.46
CN36922,K0451,2017-12-08,2018-06-16,Basis,93.61
CN29078,K0451,2017-10-28,2018-11-16,Goud,22.34
CN18957,K0452,2017-05-23,2018-11-10,Zilver,60.39
CN32514,K0452,2017-02-20,2017-09-02,Zilver,97.14
CN76085,K0452,2017-10-03,2018-04-05,Basis,93.94
CN24067,K0453,2017-09-01,2019-03-10,Zilver,55.17
CN39825,K0453,2017-04-03,2018-09-28,Platina,37.14
CN24459,K0453,2017-07-28,2018-05-19,Goud,29.89
CN15322,K0454,2017-03-11,2019-01-27,Goud,64.57
CN88694,K0454,2017-02-12,2018-07-12,Platina,42.69
CN66093,K0454,2017-06-09,2019-03-05,Platina,43.25
CN98363,K0455,2017-02-05,2018-12-04,Goud,34.34
CN61748,K0456,2017-12-11,2018-09-24,Basis,29.54
CN36094,K0456,2017-07-25,2018-05-05,Zilver,25.18
CN46505,K0457,2017-04-13,2018-11-27,Platina,78.02
CN97382,K0457,2018-01-01,2019-04-05,Platina,48.49
CN24160,K0458,2017-07-27,2019-06-03,Zilver,81.44
CN27643,K0458,2017-03-04,2018-05-14,Zilver,70.27
CN13506,K0458,2017-01-16,2017-10-24,Basis,59.85
CN96649,K0459,2017-07-15,2018-12-11,Basis,80.81
CN44296,K0460,2017-09-10,2019-06-29,Platina,59.22
CN14141,K0460,2017-10-05,2019-03-20,Basis,96.21
CN68006,K0460,2017-08-09,2018-06-06,Goud,88.23
CN31514,K0461,2017-01-19,2017-08-20,Goud,90.78
CN24336,K0461,2017-09-09,2019-05-23,Platina,59.0
CN30487,K0462,2017-12-12,2019-10-25,Platina,58.07
CN59518,K0462,2017-09-17,2018-05-12,Platina,67.28
CN13689,K0462,2017-11-12,2019-05-07,Goud,45.64
CN86541,K0463,2017-01-24,2017-12-01,Goud,84.76
CN56840,K0463,2017-01-14,2018-06-27,Platina,47.61
CN94945,K0463,2017-07-30,,Zilver,39.81
CN25003,K0464,2017-10-31,2018-07-24,Basis,89.52
CN96214,K0464,2017-06-22,,Goud,22.99
CN71564,K0465,2017-10-18,2019-09-25,Goud,21.63
CN52260,K0465,2017-10-29,2018-05-19,Platina,65.63
CN75898,K0466,2017-02-20,2019-01-01,Zilver,46.88
CN67146,K0466,2017-12-08,2019-05-19,Goud,49.07
CN80232,K0466,2017-04-14,2019-03-03,Basis,87.23
CN91863,K0467,2017-05-28,,Platina,84.37
CN79607,K0468,2017-02-17,2017-11-21,Goud,25.38
CN49563,K0468,2017-09-01,2019-05-11,Basis,72.12
CN62730,K0468,2017-09-16,2019-01-16,Goud,36.01
CN92292,K0469,2017-11-16,2019-10-24,Zilver,90.47
CN71249,K0469,2017-12-27,2019-12-05,Platina,37.04
CN92150,K0470,2017-11-23,2019-11-18,Platina,94.77
CN29722,K0470,2017-01-31,2019-01-15,Platina,31.82
CN18444,K0471,2017-12-17,2019-04-18,Platina,45.49
CN94678,K0471,2017-11-21,2018-12-14,Goud,85.9
CN24884,K0471,2017-03-24,2018-06-09,Zilver,52.47
CN83377,K0472,2017-04-09,2017-11-03,Goud,57.13
CN43868,K0473,2017-08-05,2018-03-10,Goud,30.91
CN73680,K0473,2017-05-23,2018-05-18,Basis,97.1
CN63347,K0474,2017-01-29,2017-10-21,Goud,89.37
CN84838,K0475,2017-12-10,2018-09-08,Zilver,38.88
CN21829,K0475,2017-09-14,2018-07-14,Goud,59.72
CN86588,K0476,2017-11-04,2018-09-05,Goud,46.34
CN32957,K0477,2017-07-19,2018-09-13,Zilver,31.54
CN17330,K0477,2017-04-20,2018-07-25,Goud,89.03
CN65545,K0477,2017-09-09,2019-09-05,Basis,45.32
CN58200,K0478,2017-12-16,2019-02-21,Zilver,49.04
CN96798,K0478,2017-06-07,2017-12-25,Basis,87.32
CN57560,K0479,2017-12-20,2019-02-18,Platina,44.74
CN61508,K0480,2017-03-04,2019-03-01,Platina,51.08
CN31001,K0480,2017-05-11,,Zilver,43.79
CN45918,K0480,2017-08-13,2018-12-30,Platina,83.15
CN23159,K0481,2017-09-09,2019-07-03,Goud,77.39
CN81791,K0482,2017-12-24,2019-03-16,Goud,53.67
CN34083,K0483,2017-06-17,2019-03-23,Basis,71.31
CN36224,K0483,2017-11-19,2019-08-15,Zilver,20.25
CN42716,K0483,2017-11-18,2019-03-25,Basis,28.87
CN51864,K0484,2018-01-01,2018-11-10,Platina,83.41
CN87728,K0484,2017-08-20,2019-06-20,Zilver,40.85
CN61576,K0484,2017-06-17,2018-09-28,Platina,49.41
CN94817,K0485,2017-10-20,,Basis,93.85
CN32119,K0485,2017-11-10,2018-12-29,Platina,35.86
CN58224,K0486,2017-07-25,2019-04-05,Zilver,27.12
CN69468,K0487,2017-10-18,,Platina,81.87
CN44891,K0488,2017-09-11,2018-07-09,Zilver,35.24
CN88654,K0488,2017-05-28,2019-04-14,Platina,88.51
CN63546,K0488,2017-04-21,2018-08-03,Zilver,53.47
CN42547,K0489,2017-01-15,2018-05-07,Zilver,69.41
CN52368,K0490,2017-10-26,,Platina,30.66
CN88275,K0490,2017-12-21,2019-07-31,Platina,76.68
CN40781,K0491,2017-02-07,2017-11-11,Basis,46.63
CN76131,K0491,2017-08-30,2019-02-23,Basis,20.43
CN83342,K0492,2017-07-15,2018-11-16,Goud,30.58
CN71352,K0492,2017-01-22,2018-01-20,Platina,94.43
CN25314,K0492,2017-03-09,2017-12-05,Platina,31.34
CN66372,K0493,2017-01-23,2017-11-29,Goud,79.83
CN67117,K0493,2017-05-25,2018-08-17,Goud,61.36
CN96169,K0494,2017-06-11,2019-04-25,Zilver,64.45
CN14700,K0495,2017-08-14,2018-04-05,Basis,38.39
CN74868,K0495,2017-08-29,2018-11-18,Platina,54.91
CN24744,K0495,2017-01-21,2018-10-15,Platina,56.62
CN33678,K0496,2017-03-17,2018-01-17,Zilver,89.45
CN10540,K0496,2017-03-28,2019-02-26,Zilver,66.68
CN75288,K0496,2017-09-27,2018-09-26,Basis,39.69
CN87376,K0497,2017-02-18,,Basis,51.53
CN96447,K0497,2017-02-24,2018-07-20,Basis,56.82
CN10760,K0497,2017-09-03,2019-06-09,Goud,67.54
CN16380,K0498,2017-01-23,2018-10-28,Zilver,36.91
CN81716,K0498,2017-11-26,2019-03-10,Basis,79.5
CN62286,K0499,2017-07-15,2018-04-15,Zilver,39.21
CN62742,K0499,2017-02-15,2017-09-04,Zilver,51.08
CN50645,K0499,2017-05-26,2018-04-28,Platina,84.09
CN77194,K0500,2017-11-05,2018-09-15,Basis,86.56
CN83801,K0500,2017-04-13,2019-02-23,Platina,58.12
CN90460,K0500,2017-11-04,,Platina,84.88
